id,created_at,url,text,derogatory_name_calling,violent_rhetoric,angry_rhetoric,positive_rhetoric,dehumanization,hyperbole,divisive_labeling,call_for_unity,call_for_legal_action,targets_negative,targets_positive,who_is_praised,who_is_criticized,legal_action_details,why,ner_entities,attacks_media,attacks_courts,attacks_political_opponents,opponents_list
107797156496908384,2022-02-14 15:54:32.528,https://truthsocial.com/@realDonaldTrump/107797156496908384,Get Ready!  Your favorite President will see you soon!,False,False,False,True,False,False,False,True,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,[],0,0,0,
107797156496908384,2022-02-14 15:54:32.528,https://truthsocial.com/@realDonaldTrump/107797156496908384,Get Ready!  Your favorite President will see you soon!,False,False,False,True,False,False,False,True,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,[],0,0,0,
108211822140637685,2022-04-28 21:29:28.207,https://truthsocial.com/@realDonaldTrump/108211822140637685,I’M BACK! #COVFEFE,False,True,True,True,False,True,True,True,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,"[{""text"": ""COVFEFE"", ""label"": ""PERSON""}]",0,0,0,
108211822140637685,2022-04-28 21:29:28.207,https://truthsocial.com/@realDonaldTrump/108211822140637685,I’M BACK! #COVFEFE,False,True,True,True,False,True,True,True,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,"[{""text"": ""COVFEFE"", ""label"": ""PERSON""}]",0,0,0,
108217783188791701,2022-04-29 22:45:26.592,https://truthsocial.com/@realDonaldTrump/108217783188791701,"Thank you to all of the GREAT and BEAUTIFUL Americans who congratulated me on my return to Social Media. Very proud to say that many Haters, and those in the Fake News Establishment, have joined us on Truth. BIG NUMBERS. By the way, Truth is a strong NUMBER ONE in the Apple App Store!",False,False,False,True,False,False,True,True,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,"[{""text"": ""Americans"", ""label"": ""NORP""}, {""text"": ""ONE"", ""label"": ""CARDINAL""}, {""text"": ""the Apple App Store"", ""label"": ""ORG""}]",1,0,0,
108217783188791701,2022-04-29 22:45:26.592,https://truthsocial.com/@realDonaldTrump/108217783188791701,"Thank you to all of the GREAT and BEAUTIFUL Americans who congratulated me on my return to Social Media. Very proud to say that many Haters, and those in the Fake News Establishment, have joined us on Truth. BIG NUMBERS. By the way, Truth is a strong NUMBER ONE in the Apple App Store!",False,False,False,True,False,False,True,True,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,"[{""text"": ""Americans"", ""label"": ""NORP""}, {""text"": ""ONE"", ""label"": ""CARDINAL""}, {""text"": ""the Apple App Store"", ""label"": ""ORG""}]",1,0,0,
108221053343991942,2022-04-30 12:37:05.206,https://truthsocial.com/@realDonaldTrump/108221053343991942,RT @catturd2Joe Biden is going to fly gas guzzling Air Force One almost 3000 miles to Seattle today to sign an executive order about climate change. 😂😂😂 You can't make this shit up.,False,False,False,False,False,True,False,False,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,"[{""text"": ""@catturd2Joe Biden"", ""label"": ""PERSON""}, {""text"": ""Air Force One"", ""label"": ""PRODUCT""}, {""text"": ""almost 3000 miles"", ""label"": ""QUANTITY""}, {""text"": ""Seattle"", ""label"": ""GPE""}, {""text"": ""today"", ""label"": ""DATE""}]",0,1,1,@catturd2joe biden
108221053343991942,2022-04-30 12:37:05.206,https://truthsocial.com/@realDonaldTrump/108221053343991942,RT @catturd2Joe Biden is going to fly gas guzzling Air Force One almost 3000 miles to Seattle today to sign an executive order about climate change. 😂😂😂 You can't make this shit up.,False,False,False,False,False,True,False,False,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,"[{""text"": ""@catturd2Joe Biden"", ""label"": ""PERSON""}, {""text"": ""Air Force One"", ""label"": ""PRODUCT""}, {""text"": ""almost 3000 miles"", ""label"": ""QUANTITY""}, {""text"": ""Seattle"", ""label"": ""GPE""}, {""text"": ""today"", ""label"": ""DATE""}]",0,1,1,@catturd2joe biden
108221053884053060,2022-04-30 12:37:13.451,https://truthsocial.com/@realDonaldTrump/108221053884053060,@melmul,True,False,False,True,False,False,True,False,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,"[{""text"": ""@melmul"", ""label"": ""PERSON""}]",0,0,0,
108221053884053060,2022-04-30 12:37:13.451,https://truthsocial.com/@realDonaldTrump/108221053884053060,@melmul,True,False,False,True,False,False,True,False,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,"[{""text"": ""@melmul"", ""label"": ""PERSON""}]",0,0,0,
108221541018717252,2022-04-30 14:41:06.539,https://truthsocial.com/@realDonaldTrump/108221541018717252,"Thank you for the continued support of Truth Social, still NUMBER ONE in the Apple App Store!",False,False,False,True,False,False,False,True,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,"[{""text"": ""Truth Social"", ""label"": ""ORG""}, {""text"": ""ONE"", ""label"": ""CARDINAL""}, {""text"": ""the Apple App Store"", ""label"": ""ORG""}]",1,0,0,
108221541018717252,2022-04-30 14:41:06.539,https://truthsocial.com/@realDonaldTrump/108221541018717252,"Thank you for the continued support of Truth Social, still NUMBER ONE in the Apple App Store!",False,False,False,True,False,False,False,True,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,"[{""text"": ""Truth Social"", ""label"": ""ORG""}, {""text"": ""ONE"", ""label"": ""CARDINAL""}, {""text"": ""the Apple App Store"", ""label"": ""ORG""}]",1,0,0,
108222013152768428,2022-04-30 16:41:10.731,https://truthsocial.com/@realDonaldTrump/108222013152768428,RT @DevinNunesWhat a beautiful day to wake up to see our TRUTH family growing! 🙏Today is a great day to invite all your friends and family to join TRUTH. ❤️PLEASE RT to spread the word🚀,False,False,False,True,False,False,False,True,False,[],[],[],[],,LLM error: 404 Client Error: Not Found for url: http://localhost:11434/api/chat; falling back to triage.,"[{""text"": ""TRUTH"", ""label"": ""WORK_OF_ART""}, {""text"": ""Today"", ""label"": ""DATE""}]",0,1,0,
